"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(=O)[O-]","1"
"choline","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"alpha-glycerophosphocholine","NA","NA","NA","NA","NA","0"
"acetylcholine","Acetylcholine","HMDB0000895","6060","C01996","CC(=O)OCC[N+](C)(C)C","1"
"creatine","Creatine","HMDB0000064","586","C00300","CN(CC(=O)O)C(=N)N","1"
"creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)N=C1N","1"
"thyroxine","Thyroxine","HMDB0000248","5819","C01829","C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N","1"
"trimethylamine-N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
"hexoses (HILIC pos)","NA","NA","NA","NA","NA","0"
"adenosine","Adenosine","HMDB0000050","60961","C00212","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"thymidine","Thymidine","HMDB0000273","5789","C00214","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O","1"
"xanthosine","Xanthosine","HMDB0000299","64959","C01762","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O","1"
"2-deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","C00559","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O","1"
"2-deoxycytidine","NA","NA","NA","NA","NA","0"
"cAMP","Cyclic AMP","HMDB0000058","6076","C00575","C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O","1"
"cotinine","Cotinine","HMDB0001046","408",NA,"CN1C(CCC1=O)C2=CN=CC=C2","1"
"pipecolic acid","Pipecolic acid","HMDB0000070","849","C00408","C1CCNC(C1)C(=O)O","1"
"pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","C01879","C1CC(=O)N[C@@H]1C(=O)O","1"
"1-methylnicotinamide","1-Methylnicotinamide","HMDB0000699","457","C02918","C[N+]1=CC=CC(=C1)C(=O)N","1"
"butyrobetaine","4-Trimethylammoniobutanoic acid","HMDB0001161","134","C01181","C[N+](C)(C)CCCC(=O)O","1"
"putrescine","Putrescine","HMDB0001414","1045","C02896","C(CCN)CN","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","847","C02989","CS(=O)CCC(C(=O)O)N","1"
"carnitine","L-Carnitine","HMDB0000062","2724480","C00318","C[N+](C)(C)C[C@H](CC(=O)[O-])O","1"
"acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"propionylcarnitine","Propionylcarnitine","HMDB0000824","107738","C03017","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"malonylcarnitine","Malonylcarnitine","HMDB0002095","22833583",NA,"C[N+](C)(C)C[C@H](CC(=O)[O-])OC(=O)CC(=O)O","1"
"butyrylcarnitine","Butyrylcarnitine","HMDB0002013","439829","C02862","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"valerylcarnitine","Valerylcarnitine","HMDB0013128","53481619",NA,"CCCCC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C","1"
"hexanoylcarnitine","Hexanoylcarnitine","HMDB0000705","6426853",NA,"CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"heptanoylcarnitine","Heptanoylcarnitine","HMDB0013238","6426896",NA,"CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"lauroylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"myristoylcarnitine","Tetradecanoylcarnitine","HMDB0005066","53477791",NA,"CCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"palmitoylcarnitine","L-Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056",NA,"CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"oleylcarnitine","NA","NA","NA","NA","NA","0"
"arachidonyl_carnitine","NA","NA","NA","NA","NA","0"
"sarcosine","Sarcosine","HMDB0000271","1088","C00213","CNCC(=O)O","1"
"beta-alanine","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"anserine","Anserine","HMDB0000194","112072","C01262","CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN","1"
"C14:0 LPC","NA","NA","NA","NA","NA","0"
"C16:1 LPC","NA","NA","NA","NA","NA","0"
"C16:0 LPC","NA","NA","NA","NA","NA","0"
"C18:2 LPC","NA","NA","NA","NA","NA","0"
"C18:1 LPC","NA","NA","NA","NA","NA","0"
"C18:0 LPC","NA","NA","NA","NA","NA","0"
"C20:4 LPC","NA","NA","NA","NA","NA","0"
"C20:3 LPC","NA","NA","NA","NA","NA","0"
"C22:6 LPC","NA","NA","NA","NA","NA","0"
"C16:0 LPE","NA","NA","NA","NA","NA","0"
"C18:1 LPE","NA","NA","NA","NA","NA","0"
"C18:0 LPE","NA","NA","NA","NA","NA","0"
"C20:4 LPE","NA","NA","NA","NA","NA","0"
"C22:6 LPE","NA","NA","NA","NA","NA","0"
"C32:2 PC","NA","NA","NA","NA","NA","0"
"C32:1 PC","NA","NA","NA","NA","NA","0"
"C32:0 PC","NA","NA","NA","NA","NA","0"
"C34:4 PC","NA","NA","NA","NA","NA","0"
"C34:3 PC","NA","NA","NA","NA","NA","0"
"C34:2 PC","NA","NA","NA","NA","NA","0"
"C34:1 PC","NA","NA","NA","NA","NA","0"
"C36:4 PC-A","NA","NA","NA","NA","NA","0"
"C36:4 PC-B","NA","NA","NA","NA","NA","0"
"C36:3 PC","NA","NA","NA","NA","NA","0"
"C36:2 PC","NA","NA","NA","NA","NA","0"
"C36:1 PC","NA","NA","NA","NA","NA","0"
"C38:6 PC","NA","NA","NA","NA","NA","0"
"C38:5 PC","NA","NA","NA","NA","NA","0"
"C38:4 PC","NA","NA","NA","NA","NA","0"
"C38:2 PC","NA","NA","NA","NA","NA","0"
"C40:6 PC","NA","NA","NA","NA","NA","0"
"C14:0 SM","NA","NA","NA","NA","NA","0"
"C16:1 SM","NA","NA","NA","NA","NA","0"
"C16:0 SM","NA","NA","NA","NA","NA","0"
"C18:2 SM","NA","NA","NA","NA","NA","0"
"C18:1 SM","NA","NA","NA","NA","NA","0"
"C18:0 SM","NA","NA","NA","NA","NA","0"
"C22:1 SM","NA","NA","NA","NA","NA","0"
"C22:0 SM","NA","NA","NA","NA","NA","0"
"C24:1 SM","NA","NA","NA","NA","NA","0"
"C24:0 SM","NA","NA","NA","NA","NA","0"
"C34:2 DAG","NA","NA","NA","NA","NA","0"
"C34:1 DAG","NA","NA","NA","NA","NA","0"
"C36:2 DAG","NA","NA","NA","NA","NA","0"
"C36:1 DAG","NA","NA","NA","NA","NA","0"
"C14:0 CE","NA","NA","NA","NA","NA","0"
"C16:1 CE","NA","NA","NA","NA","NA","0"
"C16:0 CE","NA","NA","NA","NA","NA","0"
"C18:3 CE","NA","NA","NA","NA","NA","0"
"C18:2 CE","NA","NA","NA","NA","NA","0"
"C18:1 CE","NA","NA","NA","NA","NA","0"
"C18:0 CE","NA","NA","NA","NA","NA","0"
"C20:5 CE","NA","NA","NA","NA","NA","0"
"C20:4 CE","NA","NA","NA","NA","NA","0"
"C20:3 CE","NA","NA","NA","NA","NA","0"
"C22:6 CE","NA","NA","NA","NA","NA","0"
"C46:2 TAG","NA","NA","NA","NA","NA","0"
"C46:1 TAG","NA","NA","NA","NA","NA","0"
"C46:0 TAG","NA","NA","NA","NA","NA","0"
"C48:3 TAG","NA","NA","NA","NA","NA","0"
"C48:2 TAG","NA","NA","NA","NA","NA","0"
"C48:1 TAG","NA","NA","NA","NA","NA","0"
"C48:0 TAG","NA","NA","NA","NA","NA","0"
"C50:3 TAG","NA","NA","NA","NA","NA","0"
"C50:2 TAG","NA","NA","NA","NA","NA","0"
"C50:1 TAG","NA","NA","NA","NA","NA","0"
"C50:0 TAG","NA","NA","NA","NA","NA","0"
"C52:5 TAG","NA","NA","NA","NA","NA","0"
"C52:4 TAG","NA","NA","NA","NA","NA","0"
"C52:3 TAG","NA","NA","NA","NA","NA","0"
"C52:2 TAG","NA","NA","NA","NA","NA","0"
"C52:1 TAG","NA","NA","NA","NA","NA","0"
"C54:7 TAG","NA","NA","NA","NA","NA","0"
"C54:6 TAG","NA","NA","NA","NA","NA","0"
"C54:5 TAG","NA","NA","NA","NA","NA","0"
"C54:4 TAG","NA","NA","NA","NA","NA","0"
"C54:3 TAG","NA","NA","NA","NA","NA","0"
"C54:2 TAG","NA","NA","NA","NA","NA","0"
"C54:1 TAG","NA","NA","NA","NA","NA","0"
"C56:8 TAG","NA","NA","NA","NA","NA","0"
"C56:7 TAG","NA","NA","NA","NA","NA","0"
"C56:6 TAG","NA","NA","NA","NA","NA","0"
"C56:5 TAG","NA","NA","NA","NA","NA","0"
"C56:4 TAG","NA","NA","NA","NA","NA","0"
"C56:3 TAG","NA","NA","NA","NA","NA","0"
"C56:2 TAG","NA","NA","NA","NA","NA","0"
"C58:8 TAG","NA","NA","NA","NA","NA","0"
"C58:7 TAG","NA","NA","NA","NA","NA","0"
"C58:6 TAG","NA","NA","NA","NA","NA","0"
